pid,name,birthdate,college,height,weight,current_team
153,Kevin Durant,29-Sep-88,University of Texas at Austin,83,255,Golden State Warriors
154,Jarell Eddie,30-Oct-91,Virginia Polytechnic Institute and State University,76,195,Chicago Bulls
155,Henry Ellenson,13-Jan-97,Marquette University,82,225,Detroit Pistons
156,Wayne Ellington,29-Oct-87,University of North Carolina,74,200,Miami Heat
157,Monta Ellis,26-Oct-85,,85,255,
158,Joel Embiid,16-Mar-94,University of Kansas,84,250,Philadelphia 76ers
159,James Ennis,1-Jul-90,"California State University, Long Beach",80,230,Detroit Pistons
160,Tyler Ennis,24-Aug-94,Syracuse University,81,220,Los Angeles Lakers
161,Jawun Evans,26-Jul-96,Oklahoma State University,77,216,Los Angeles Clippers
162,Tyreke Evans,19-Sep-89,University of Memphis,81,225,Memphis Grizzlies
163,Dante Exum,13-Jul-95,,78,205,Utah Jazz
164,Kenneth Faried,19-Nov-89,Morehead State University,85,245,Denver Nuggets
165,Jordan Farmar,30-Nov-86,"University of California, Los Angeles",81,220,
166,Derrick Favors,15-Jul-91,Georgia Institute of Technology,76,215,Utah Jazz
167,Kay Felder,29-Mar-95,Oakland University,83,240,Detroit Pistons
168,Cristiano Felicio,7-Jul-92,,78,220,
169,Raymond Felton,26-Jun-84,University of North Carolina,80,210,Oklahoma City Thunder
170,Terrance Ferguson,17-May-98,,76,195,Oklahoma City Thunder
171,Yogi Ferrell,9-May-93,Indiana University,78,215,Dallas Mavericks
172,Dorian Finney-Smith,4-May-93,University of Florida,79,230,Dallas Mavericks
173,Bryn Forbes,23-Jul-93,Michigan State University,81,227,San Antonio Spurs
174,Evan Fournier,29-Oct-92,,81,235,Orlando Magic
175,De'Aaron Fox,20-Dec-97,University of Kentucky,82,251,Sacramento Kings
176,Randy Foye,24-Sep-83,Villanova University,79,195,
177,Tim Frazier,1-Nov-90,Pennsylvania State University,78,205,
178,Channing Frye,17-May-83,University of Arizona,77,220,Los Angeles Lakers
179,Markelle Fultz,29-May-98,University of Washington,81,215,Philadelphia 76ers
180,Danilo Gallinari,8-Aug-88,,80,240,Los Angeles Clippers
181,Langston Galloway,9-Dec-91,Saint Joseph's University,75,192,Detroit Pistons
182,Patricio Garino,17-May-93,George Washington University,76,210,
183,Marc Gasol,29-Jan-85,,78,219,Memphis Grizzlies
184,Pau Gasol,6-Jul-80,,81,235,San Antonio Spurs
185,Rudy Gay,17-Aug-86,University of Connecticut,78,213,San Antonio Spurs
186,Michael Gbinije,5-Jun-92,Syracuse University,77,209,
187,Alonzo Gee,29-May-87,University of Alabama,80,235,
188,Paul George,2-May-90,"California State University, Fresno",80,226,Oklahoma City Thunder
189,Marcus Georges-Hunt,28-Mar-94,Georgia Institute of Technology,83,229,Minnesota Timberwolves
190,Jonathan Gibson,8-Nov-87,New Mexico State University,81,230,Boston Celtics
191,Taj Gibson,24-Jun-85,University of Southern California,83,240,Minnesota Timberwolves
192,Manu Ginobili,28-Jul-77,,80,215,
193,Rudy Gobert,26-Jun-92,,76,214,Utah Jazz
194,Archie Goodwin,17-Aug-94,University of Kentucky,83,250,
195,Aaron Gordon,16-Sep-95,University of Arizona,75,188,Orlando Magic
196,Eric Gordon,25-Dec-88,Indiana University,78,205,Houston Rockets
197,Marcin Gortat,17-Feb-84,,76,205,
198,Treveon Graham,29-Oct-93,Virginia Commonwealth University,78,185,Charlotte Hornets
199,Jerami Grant,12-Mar-94,Syracuse University,77,205,Oklahoma City Thunder
200,Jerian Grant,9-Oct-92,University of Notre Dame,79,220,Chicago Bulls
201,Danny Green,22-Jun-87,University of North Carolina,82,245,San Antonio Spurs
202,Draymond Green,4-Mar-90,Michigan State University,80,206,Golden State Warriors
203,Gerald Green,26-Jan-86,,82,245,Houston Rockets
204,JaMychal Green,21-Jun-90,University of Alabama,79,207,Memphis Grizzlies
205,Jeff Green,28-Aug-86,Georgetown University,83,265,Cleveland Cavaliers
206,Blake Griffin,16-Mar-89,University of Oklahoma,79,230,Detroit Pistons
207,Daniel Hamilton,8-Aug-95,University of Connecticut,80,208,Oklahoma City Thunder
208,Justin Hamilton,1-Apr-90,Louisiana State University,82,235,
209,A.J. Hammons,27-Aug-92,Purdue University,78,215,
210,Tim Hardaway,16-Mar-92,University of Michigan,82,235,
211,James Harden,26-Aug-89,Arizona State University,80,226,Houston Rockets
212,Maurice Harkless,11-May-93,St. John's University,81,190,
213,Justin Harper,30-Aug-89,University of Richmond,75,193,
214,Montrezl Harrell,26-Jan-94,University of Louisville,82,210,Los Angeles Clippers
215,Devin Harris,27-Feb-83,University of Wisconsin,79,193,Denver Nuggets
216,Gary Harris,14-Sep-94,Michigan State University,75,200,Denver Nuggets
217,Joe Harris,6-Sep-91,University of Virginia,73,201,Brooklyn Nets
218,Manny Harris,21-Sep-89,University of Michigan,80,207,
219,Tobias Harris,15-Jul-92,University of Tennessee,80,200,Los Angeles Clippers
220,Aaron Harrison,28-Oct-94,University of Kentucky,75,208,Dallas Mavericks
221,Andrew Harrison,28-Oct-94,University of Kentucky,80,250,Memphis Grizzlies
222,Josh Hart,6-Mar-95,Villanova University,73,189,Los Angeles Lakers
223,Udonis Haslem,9-Jun-80,University of Florida,82,289,Miami Heat
224,Spencer Hawes,28-Apr-88,University of Washington,79,233,
225,Gordon Hayward,23-Mar-90,Butler University,82,231,Boston Celtics
226,Gerald Henderson,9-Dec-87,Duke University,81,240,
227,John Henson,28-Dec-90,University of North Carolina,82,230,Milwaukee Bucks
228,Juan Hernangomez,28-Sep-95,,84,255,
229,Willy Hernangomez,27-May-94,,81,250,
230,Mario Hezonja,25-Feb-95,,79,240,Orlando Magic
231,Roy Hibbert,11-Dec-86,Georgetown University,79,245,
232,Buddy Hield,17-Dec-93,University of Oklahoma,76,186,Sacramento Kings
233,Nene Hilario,13-Sep-82,,79,215,
234,George Hill,4-May-86,Indiana University-Purdue University Indianapolis,82,250,Cleveland Cavaliers
235,Jordan Hill,27-Jul-87,University of Arizona,84,245,
236,Solomon Hill,18-Mar-91,University of Arizona,79,190,New Orleans Pelicans
237,Darrun Hilliard,13-Apr-93,Villanova University,79,223,San Antonio Spurs
238,Jrue Holiday,12-Jun-90,"University of California, Los Angeles",74,195,New Orleans Pelicans
239,Justin Holiday,5-Apr-89,University of Washington,83,265,Chicago Bulls
240,John Holland,6-Nov-88,Boston University,75,193,Cleveland Cavaliers
241,Rondae Hollis-Jefferson,3-Jan-95,University of Arizona,84,242,Brooklyn Nets
242,Richaun Holmes,15-Oct-93,Bowling Green State University,83,245,Philadelphia 76ers
243,Rodney Hood,20-Oct-92,Duke University,78,206,Cleveland Cavaliers
244,Al Horford,3-Jun-86,University of Florida,79,232,Boston Celtics
245,Danuel House,7-Jun-93,Texas A&M University,76,210,Phoenix Suns
246,Dwight Howard,8-Dec-85,,82,220,Charlotte Hornets
247,Marcelo Huertas,25-May-83,,79,185,
248,Josh Huestis,19-Dec-91,Stanford University,79,212,Oklahoma City Thunder
249,Kris Humphries,6-Feb-85,University of Minnesota,84,265,
250,R.J. Hunter,24-Oct-93,Georgia State University,81,220,Houston Rockets
