gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43046SA,11/07/17 08:30,AT&T Center,FALSE,San Antonio Spurs,Los Angeles Clippers,120,107
43046DEN,11/07/17 09:00,Pepsi Center,FALSE,Denver Nuggets,Brooklyn Nets,112,104
43046UTA,11/07/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Philadelphia 76ers,97,104
43046POR,11/07/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Memphis Grizzlies,97,98
43046SAC,11/07/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Oklahoma City Thunder,94,86
43047DET,11/08/17 07:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Indiana Pacers,114,97
43047ORL,11/08/17 07:00,Amway Center,FALSE,Orlando Magic,New York Knicks,112,99
43047BOS,11/08/17 08:00,TD Garden,FALSE,Boston Celtics,Los Angeles Lakers,107,96
43047PHO,11/08/17 09:00,US Airways Center,FALSE,Phoenix Suns,Miami Heat,115,126
43047GS,11/08/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Minnesota Timberwolves,125,101
43048WAS,11/09/17 07:00,Verizon Center,FALSE,Washington Wizards,Los Angeles Lakers,111,95
43048TOR,11/09/17 07:30,Air Canada Centre,FALSE,Toronto Raptors,New Orleans Pelicans,122,118
43048HOU,11/09/17 08:00,Toyota Center,FALSE,Houston Rockets,Cleveland Cavaliers,117,113
43048SAC,11/09/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Philadelphia 76ers,109,108
43048DEN,11/09/17 10:30,Pepsi Center,FALSE,Denver Nuggets,Oklahoma City Thunder,102,94
43049DET,11/10/17 07:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Atlanta Hawks,111,104
43049BOS,11/10/17 07:30,TD Garden,FALSE,Boston Celtics,Charlotte Hornets,90,87
43049CHI,11/10/17 08:00,United Center,FALSE,Chicago Bulls,Indiana Pacers,87,105
43049OKC,11/10/17 09:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Los Angeles Clippers,120,111
43049PHO,11/10/17 09:00,US Airways Center,FALSE,Phoenix Suns,Orlando Magic,112,128
43049SA,11/10/17 09:00,AT&T Center,FALSE,San Antonio Spurs,Milwaukee Bucks,87,94
43049UTA,11/10/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Miami Heat,74,84
43049POR,11/10/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Brooklyn Nets,97,101
43050NO,11/11/17 07:00,New Orleans Arena,FALSE,New Orleans Pelicans,Los Angeles Clippers,111,103
43050WAS,11/11/17 07:00,Verizon Center,FALSE,Washington Wizards,Atlanta Hawks,113,94
43050HOU,11/11/17 08:00,Toyota Center,FALSE,Houston Rockets,Memphis Grizzlies,111,96
43050NY,11/11/17 08:00,Madison Square Garden,FALSE,New York Knicks,Sacramento Kings,118,91
43050DAL,11/11/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,Cleveland Cavaliers,104,111
43050GS,11/11/17 08:30,Oracle Arena,FALSE,Golden State Warriors,Philadelphia 76ers,135,114
43050MIL,11/11/17 08:30,Bradley Center,FALSE,Milwaukee Bucks,Los Angeles Lakers,98,90
43050SA,11/11/17 08:30,AT&T Center,FALSE,San Antonio Spurs,Chicago Bulls,133,94
43050DEN,11/11/17 09:00,Pepsi Center,FALSE,Denver Nuggets,Orlando Magic,125,107
43050PHO,11/11/17 09:00,US Airways Center,FALSE,Phoenix Suns,Minnesota Timberwolves,118,110
43050UTA,11/11/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Brooklyn Nets,114,106
43051BOS,11/12/17 03:30,TD Garden,FALSE,Boston Celtics,Toronto Raptors,95,94
43051DET,11/12/17 04:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Miami Heat,112,103
43051IND,11/12/17 06:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Houston Rockets,95,118
43051OKC,11/12/17 07:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Dallas Mavericks,112,99
43052WAS,11/13/17 07:00,Verizon Center,FALSE,Washington Wizards,Sacramento Kings,110,92
43052NY,11/13/17 07:30,Madison Square Garden,FALSE,New York Knicks,Cleveland Cavaliers,101,104
43052MIL,11/13/17 08:00,Bradley Center,FALSE,Milwaukee Bucks,Memphis Grizzlies,110,103
43052NO,11/13/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,Atlanta Hawks,106,105
43052PHO,11/13/17 09:00,US Airways Center,FALSE,Phoenix Suns,Los Angeles Lakers,93,100
43052UTA,11/13/17 09:00,EnergySolutions Arena,FALSE,Utah Jazz,Minnesota Timberwolves,98,109
43052POR,11/13/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Denver Nuggets,99,82
43052GS,11/13/17 10:30,Oracle Arena,FALSE,Golden State Warriors,Orlando Magic,110,100
43052LAC,11/13/17 10:30,Staples Center,FALSE,Los Angeles Clippers,Philadelphia 76ers,105,109
43053BKN,11/14/17 07:30,Barclays Center,FALSE,Brooklyn Nets,Boston Celtics,102,109
43053HOU,11/14/17 08:00,Toyota Center,FALSE,Houston Rockets,Toronto Raptors,113,129
43053DAL,11/14/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,San Antonio Spurs,91,97
43054ATL,11/15/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Sacramento Kings,126,80
43054MIA,11/15/17 07:30,AmericanAirlines Arena,FALSE,Miami Heat,Washington Wizards,93,102
43054NY,11/15/17 07:30,Madison Square Garden,FALSE,New York Knicks,Utah Jazz,106,101
43054CHA,11/15/17 08:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Cleveland Cavaliers,107,115
43054MEM,11/15/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Indiana Pacers,113,116
43054MIL,11/15/17 08:00,Bradley Center,FALSE,Milwaukee Bucks,Detroit Pistons,99,95
43054MIN,11/15/17 08:00,Target Center,FALSE,Minnesota Timberwolves,San Antonio Spurs,98,86
43054NO,11/15/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,Toronto Raptors,116,125
43054OKC,11/15/17 08:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Chicago Bulls,92,79
43054POR,11/15/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Orlando Magic,99,94
43054LAL,11/15/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Philadelphia 76ers,109,115
43055BOS,11/16/17 08:00,TD Garden,FALSE,Boston Celtics,Golden State Warriors,92,88
43055PHO,11/16/17 10:30,US Airways Center,FALSE,Phoenix Suns,Houston Rockets,116,142
43056IND,11/17/17 07:00,Bankers Life Fieldhouse,FALSE,Indiana Pacers,Detroit Pistons,107,100
43056WAS,11/17/17 07:00,Verizon Center,FALSE,Washington Wizards,Miami Heat,88,91
43056BKN,11/17/17 07:30,Barclays Center,FALSE,Brooklyn Nets,Utah Jazz,118,107
43056CLE,11/17/17 07:30,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Los Angeles Clippers,118,113
43056TOR,11/17/17 07:30,Air Canada Centre,FALSE,Toronto Raptors,New York Knicks,107,84
43056CHI,11/17/17 08:00,United Center,FALSE,Chicago Bulls,Charlotte Hornets,123,120
43056SA,11/17/17 08:00,AT&T Center,FALSE,San Antonio Spurs,Oklahoma City Thunder,104,101
43056DAL,11/17/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,Minnesota Timberwolves,87,111
43056SAC,11/17/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Portland Trail Blazers,86,82
43056DEN,11/17/17 10:30,Pepsi Center,FALSE,Denver Nuggets,New Orleans Pelicans,146,114
43056LAL,11/17/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Phoenix Suns,113,122
43057CHA,11/18/17 07:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Los Angeles Clippers,102,87
43057ORL,11/18/17 07:00,Amway Center,FALSE,Orlando Magic,Utah Jazz,85,125
43057ATL,11/18/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Boston Celtics,99,110
43057PHI,11/18/17 07:30,Wells Fargo Center,FALSE,Philadelphia 76ers,Golden State Warriors,116,124
43057MEM,11/18/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Houston Rockets,83,105
43057DAL,11/18/17 09:00,American Airlines Center,FALSE,Dallas Mavericks,Milwaukee Bucks,111,79
43057POR,11/18/17 10:00,Rose Garden,FALSE,Portland Trail Blazers,Sacramento Kings,102,90
43058MIA,11/19/17 03:30,AmericanAirlines Arena,FALSE,Miami Heat,Indiana Pacers,95,120
43058BKN,11/19/17 06:00,Barclays Center,FALSE,Brooklyn Nets,Golden State Warriors,111,118
43058TOR,11/19/17 06:00,Air Canada Centre,FALSE,Toronto Raptors,Washington Wizards,100,91
43058MIN,11/19/17 07:00,Target Center,FALSE,Minnesota Timberwolves,Detroit Pistons,97,100
43058PHO,11/19/17 08:00,US Airways Center,FALSE,Phoenix Suns,Chicago Bulls,113,105
43058LAL,11/19/17 09:30,Staples Center,FALSE,Los Angeles Lakers,Denver Nuggets,127,109
43059CHA,11/20/17 07:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Minnesota Timberwolves,118,102
43059DET,11/20/17 07:00,The Palace of Auburn Hills,FALSE,Detroit Pistons,Cleveland Cavaliers,88,116
43059ORL,11/20/17 07:00,Amway Center,FALSE,Orlando Magic,Indiana Pacers,97,105
43059PHI,11/20/17 07:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Utah Jazz,107,86
43059NY,11/20/17 07:30,Madison Square Garden,FALSE,New York Knicks,Los Angeles Clippers,107,85
43059MEM,11/20/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Portland Trail Blazers,92,100
43059MIL,11/20/17 08:00,Bradley Center,FALSE,Milwaukee Bucks,Washington Wizards,88,99
43059NO,11/20/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,Oklahoma City Thunder,114,107
